ARS,자치구,정류장이름,가격_원per면,경도,위도,승차_일평균,하차_일평균,승하차_일평균,경유노선수,공시지가_원per㎡,거리_시청_km,거리_강남_km,거리_여의도_km,거리_도심최근접_km,POI_total_100m,POI_total_300m,POI_음식_300m,POI_소매_300m,POI_과학·기술_300m,POI_수리·개인_300m,POI_교육_300m,POI_부동산_300m,POI_시설관리·임대_300m,POI_예술·스포츠_300m,POI_보건의료_300m,POI_숙박_300m,POI_total_500m,최근접지하철_거리_m,최근접역_승하차_일평균,교차로수_300m,가로망연장_300m,간선도로연장_300m,교차로수_500m,가로망연장_500m,간선도로연장_500m,간선도로거리_m
15184,양천구,목동14단지 [15184],578200.0,126.8695819439,37.5147422125,60.2,49.8,110.0,1.0,2825000.0,11.139,14.064,4.908,4.908,0.0,127.0,17.0,21.0,2.0,13.0,49.0,16.0,1.0,3.0,5.0,0.0,512.0,421.2,14379.0,9.0,2872.0,1662.0,34.0,7332.0,3655.0,10.4
15187,양천구,목동12.13단지사잇길 [15187],279300.0,126.8632703412,37.5132321011,157.8,57.1,214.9,1.0,8305000.0,11.703,14.595,5.486,5.486,0.0,234.0,47.0,24.0,3.0,26.0,88.0,17.0,1.0,12.0,16.0,0.0,566.0,243.1,14379.0,4.0,1419.0,398.0,20.0,5233.0,2044.0,217.1
15191,양천구,목동14단지관리사무소앞 [15191],578200.0,126.8716908326,37.5147961876,28.4,40.9,69.4,1.0,2825000.0,10.977,13.88,4.724,4.724,59.0,154.0,25.0,29.0,2.0,15.0,55.0,16.0,1.0,5.0,6.0,0.0,451.0,582.1,14379.0,6.0,2136.0,951.0,47.0,9260.0,5163.0,190.1
15192,양천구,양천구청역 [15192],578200.0,126.865327879,37.5125666892,583.8,200.7,784.5,3.0,2825000.0,11.585,14.407,5.321,5.321,1.0,54.0,2.0,9.0,0.0,12.0,16.0,14.0,1.0,0.0,0.0,0.0,480.0,47.2,14379.0,3.0,1244.0,143.0,34.0,6766.0,2577.0,280.2
15193,양천구,양천공원 [15193],578200.0,126.869642,37.517872,517.6,558.9,1076.5,8.0,8305000.0,10.959,14.109,4.859,4.859,19.0,304.0,62.0,45.0,38.0,33.0,85.0,8.0,4.0,17.0,12.0,0.0,864.0,692.8,14379.0,21.0,4555.0,2878.0,52.0,10416.0,5594.0,14.3
15194,양천구,양천구청 [15194],662970.0,126.86703,37.516543,812.3,488.8,1301.1,9.0,8433000.0,11.232,14.315,5.103,5.103,0.0,210.0,26.0,18.0,7.0,10.0,125.0,12.0,0.0,8.0,4.0,0.0,735.0,470.5,14379.0,12.0,3681.0,2928.0,30.0,8460.0,4880.0,12.8
15195,양천구,양천구민체육센터.양천일자리센터 [15195],662970.0,126.8642387934,37.5155435776,587.0,310.6,897.7,7.0,8801000.0,11.501,14.543,5.362,5.362,9.0,453.0,86.0,42.0,7.0,20.0,230.0,14.0,0.0,28.0,26.0,0.0,539.0,374.6,14379.0,9.0,2197.0,1063.0,23.0,6844.0,4122.0,17.9
15196,양천구,목동12단지 [15196],205800.0,126.8603283424,37.5141819623,744.3,471.6,1215.9,7.0,8305000.0,11.876,14.866,5.724,5.724,20.0,337.0,81.0,38.0,8.0,22.0,130.0,13.0,0.0,21.0,24.0,0.0,475.0,523.2,14379.0,9.0,2081.0,1114.0,22.0,5653.0,2426.0,19.5
15197,양천구,갈산초등학교정문 [15197],323400.0,126.8701085117,37.5128276097,329.8,339.5,669.4,4.0,2031000.0,11.211,13.991,4.902,4.902,1.0,70.0,11.0,9.0,4.0,7.0,24.0,14.0,1.0,0.0,0.0,0.0,256.0,381.5,14379.0,13.0,2365.0,1286.0,42.0,8305.0,4754.0,20.4
15198,양천구,갈산초등학교후문 [15198],578200.0,126.8687090062,37.5110893778,197.7,143.2,340.9,4.0,1810000.0,11.418,14.093,5.065,5.065,5.0,70.0,15.0,18.0,6.0,14.0,7.0,8.0,1.0,1.0,0.0,0.0,257.0,293.2,14379.0,22.0,3051.0,1034.0,47.0,8385.0,4366.0,9.2
15201,양천구,은정초등학교 [15201],205800.0,126.8671059902,37.5100942816,404.7,96.8,501.5,4.0,4891000.0,11.597,14.222,5.229,5.229,19.0,151.0,40.0,30.0,12.0,31.0,11.0,9.0,4.0,11.0,3.0,0.0,277.0,278.8,14379.0,22.0,2810.0,630.0,43.0,7443.0,2901.0,20.0
15203,양천구,목동우성아파트 [15203],205800.0,126.8642093283,37.5084511066,1000.1,407.6,1407.7,5.0,1107000.0,11.911,14.461,5.524,5.524,62.0,273.0,57.0,67.0,15.0,49.0,38.0,13.0,6.0,21.0,7.0,0.0,420.0,458.8,14379.0,15.0,2683.0,604.0,46.0,8021.0,1567.0,14.9
15206,양천구,봉영여중.목동고 [15206],379995.0,126.8614268774,37.5073907618,132.3,300.3,432.6,4.0,2825000.0,12.181,14.697,5.792,5.792,45.0,250.0,70.0,55.0,9.0,31.0,33.0,16.0,1.0,21.0,13.0,1.0,655.0,675.7,14379.0,21.0,3292.0,1113.0,58.0,9032.0,2168.0,11.1
15211,양천구,신정사거리 [15211],578200.0,126.8515143857,37.5218864223,1738.5,740.6,2479.1,7.0,1804000.0,12.188,15.759,6.437,6.437,126.0,648.0,180.0,129.0,45.0,77.0,27.0,46.0,41.0,41.0,54.0,8.0,1270.0,235.3,21079.0,30.0,4872.0,1620.0,88.0,13689.0,3019.0,12.9
