자치구,정류장이름,ARS,가격_원,가격기준,가격_양면,가격_4면,상품유형,지원포맷,운영시간,야간조명,혼잡도,상세URL,수집일시,면수,가격_원per면
강서구,등촌2동주민센터.등촌동대림아파트 [16175],16175,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/1763,2026-05-31,2.0,578200.0
강서구,대일고교.임광아파트.배광교회 [16176],16176,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,혼잡,https://dukplace.com/ko/product/ad/1765,2026-05-31,2.0,578200.0
양천구,목동사거리 [16179],16179,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,혼잡,https://dukplace.com/ko/product/ad/1054,2026-05-31,2.0,901600.0
강서구,까치산역4번출구 [16192],16192,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1055,2026-05-31,2.0,901600.0
강서구,가로공원.나누리병원 [16199],16199,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1767,2026-05-31,2.0,578200.0
강서구,화곡역5번출구 [16205],16205,1325940,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2752,2026-05-31,2.0,662970.0
강서구,화곡역1번출구 [16207],16207,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1056,2026-05-31,2.0,901600.0
강서구,화곡역 [16208],16208,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1057,2026-05-31,2.0,901600.0
강서구,대원시장 [16209],16209,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1769,2026-05-31,2.0,578200.0
강서구,화곡중고등학교 [16211],16211,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1771,2026-05-31,2.0,578200.0
강서구,우장산역 [16213],16213,2005080,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2588,2026-05-31,2.0,1002540.0
강서구,우장산역 [16214],16214,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1058,2026-05-31,2.0,901600.0
강서구,발산역.우장산힐스테이트 [16217],16217,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1059,2026-05-31,2.0,901600.0
강서구,발산역2번출구 [16219],16219,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1060,2026-05-31,2.0,901600.0
강서구,발산역3번출구 [16220],16220,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1061,2026-05-31,2.0,901600.0
강서구,서울호서전문학교.등촌주공3단지아파트 [16221],16221,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1773,2026-05-31,2.0,578200.0
강서구,서울강서우체국 [16223],16223,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1775,2026-05-31,2.0,578200.0
강서구,양천향교역.휴먼빌아파트 [16225],16225,617400,단면(1면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1777,2026-05-31,1.0,617400.0
강서구,양천향교입구 [16226],16226,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1779,2026-05-31,2.0,578200.0
강서구,가양한강타운아파트 [16228],16228,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1781,2026-05-31,2.0,578200.0
강서구,가양2단지성지아파트.동양고등학교 [16229],16229,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1784,2026-05-31,2.0,578200.0
강서구,가양2단지성지아파트.동양고등학교 [16230],16230,1325940,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2753,2026-05-31,2.0,662970.0
강서구,한보구암마을아파트 [16231],16231,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1786,2026-05-31,2.0,578200.0
강서구,가양동천주교.영등포공업고등학교 [16232],16232,1325940,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2754,2026-05-31,2.0,662970.0
강서구,공진중학교 우체국앞 허준박물관 [16233],16233,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1788,2026-05-31,2.0,578200.0
강서구,가양도시개발4단지아파트 [16235],16235,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1322,2026-05-31,2.0,205800.0
강서구,대림경동아파트 [16236],16236,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1344,2026-05-31,2.0,205800.0
강서구,가양도시개발5단지아파트 [16237],16237,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1790,2026-05-31,2.0,578200.0
강서구,가양2동강변아파트 [16238],16238,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1792,2026-05-31,2.0,578200.0
강서구,가양6단지아파트 [16239],16239,1325940,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2755,2026-05-31,2.0,662970.0
강서구,가양초등학교 [16240],16240,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1794,2026-05-31,2.0,578200.0
강서구,강서구청별관 [16241],16241,617400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1796,2026-05-31,2.0,308700.0
강서구,가양3동주민센터 [16242],16242,1325940,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2756,2026-05-31,2.0,662970.0
