ARS,자치구,정류장이름,공시지가_원per㎡,PNU,지번,공시지가_주소,공시연도
08228,성북구,성북초교.성북선잠박물관 [08228],2135000.0,1129010100100650003,65-3도,서울특별시 성북구 성북동 65-3,2025
08230,성북구,홍익대부속중고등학교입구 [08230],7276000.0,1129010100101280022,128-22대,서울특별시 성북구 성북동 128-22,2025
08231,성북구,홍익대부속중고등학교입구 [08231],2363000.0,1129010100101420001,142-1천,서울특별시 성북구 성북동 142-1,2025
08232,성북구,경신중고입구 [08232],7501000.0,1129010100101310111,131-111대,서울특별시 성북구 성북동 131-111,2025
08239,강북구,장위래미안아파트 [08239],1345000.0,1129013800103200008,320-8 도,서울특별시 성북구 장위동 320-8,2025
08242,강북구,장위래미안아파트 [08242],1345000.0,1129013800103200008,320-8 도,서울특별시 성북구 장위동 320-8,2025
08243,강북구,남대문중학교 [08243],1345000.0,1129013800103220008,322-8 도,서울특별시 성북구 장위동 322-8,2025
08259,강북구,정릉초교 [08259],1487000.0,1129013300102390023,239-23 도,서울특별시 성북구 정릉동 239-23,2025
08260,성북구,정릉동풍림상가앞 [08260],1487000.0,1129013300102390023,239-23 도,서울특별시 성북구 정릉동 239-23,2025
08262,성북구,정릉동풍림아파트.청소년문화의집 [08262],1487000.0,1129013300102390023,239-23 도,서울특별시 성북구 정릉동 239-23,2025
08264,성북구,정릉입구.정릉역 [08264],2757000.0,1129013300101390051,139-51 도,서울특별시 성북구 정릉동 139-51,2025
08265,성북구,아리랑고개.아리랑시네미디어센터 [08265],1091000.0,1129010300105240009,524-9 도,서울특별시 성북구 돈암동 524-9,2025
08284,성북구,월곡1동주민센터 [08284],1642000.0,1129013600102250014,225-14 도,서울특별시 성북구 하월곡동 225-14,2025
08296,성북구,보문역 [08296],3134000.0,1129013000101090003,109-3 도,서울특별시 성북구 보문동1가 109-3,2025
08299,성북구,고려대이공대.고대병원 [08299],1735000.0,1129012500101260075,126-75도,서울특별시 성북구 안암동5가 126-75,2025
08300,성북구,고려대이공대.고대병원 [08300],1735000.0,1129012500101380003,138-3 도,서울특별시 성북구 안암동5가 138-3,2025
08327,성북구,성북우체국현대백화점 [08327],11200000.0,1129013600100890001,89-1 대,서울특별시 성북구 하월곡동 89-1,2025
08336,성북구,길음역 [08336],1255000.0,1129010300100080165,8-165천,서울특별시 성북구 돈암동 8-165,2025
08367,성북구,구민회관입구 [08367],347600.0,1129010300200860001,산86-1임,서울특별시 성북구 돈암동 산 86-1,2025
08400,성북구,길음뉴타운10단지.라온유아파트 [08400],1623000.0,1129013300109660265,966-265 도,서울특별시 성북구 정릉동 966-265,2025
08408,성북구,북한산보국문역2번출구 [08408],6661000.0,1129013300102980002,298-2 대,서울특별시 성북구 정릉동 298-2,2025
08409,성북구,북한산보국문역1번출구 [08409],2158000.0,1129013300102890094,289-94 도,서울특별시 성북구 정릉동 289-94,2025
08718,성북구,삼선교역2번출구 [08718],15000000.0,1129010500100020000,2대,서울특별시 성북구 동소문동2가 2,2025
08800,성북구,서경대정문앞 [08800],1601000.0,1129013300200170083,산17-83 도,서울특별시 성북구 정릉동 산 17-83,2025
09104,강북구,우이동성원아파트 [09104],3458000.0,1130510400100010000,1 대,서울특별시 강북구 우이동 1,2025
09116,강북구,인수중학교 [09116],1102000.0,1130510300105240004,524-4도,서울특별시 강북구 수유동 524-4,2025
09117,강북구,인수중학교 [09117],1102000.0,1130510300105240004,524-4도,서울특별시 강북구 수유동 524-4,2025
09142,강북구,강북노인종합복지관 [09142],1867000.0,1130510300101170000,117도,서울특별시 강북구 수유동 117,2025
09143,강북구,강북노인종합복지관 [09143],6226000.0,1130510300101170002,117-2대,서울특별시 강북구 수유동 117-2,2025
09150,강북구,북부시장입구 [09150],1190000.0,1130510200104100006,410-6 도,서울특별시 강북구 번동 410-6,2025
09154,강북구,북부수도사업소 [09154],2497000.0,1130510200104310008,431-8대,서울특별시 강북구 번동 431-8,2025
09163,강북구,삼양초등학교 [09163],5118000.0,1130510100107510001,751-1 종,서울특별시 강북구 미아동 751-1,2025
09166,강북구,삼양동사거리 [09166],4414000.0,1130510100108120000,812 대,서울특별시 강북구 미아동 812,2025
09168,강북구,송천초등학교.미아뉴타운입구 [09168],1740000.0,1130510100106370044,637-44 도,서울특별시 강북구 미아동 637-44,2025
09175,강북구,삼양동사거리입구 [09175],6091000.0,1130510100100650005,65-5대,서울특별시 강북구 미아동 65-5,2025
09176,강북구,강북보건소 [09176],4406000.0,1130510200102320000,232대,서울특별시 강북구 번동 232,2025
09177,강북구,신창교.강북소방서 [09177],51000.0,1130510200106120003,612-3천,서울특별시 강북구 번동 612-3,2025
09179,강북구,강북보건소 [09179],51000.0,1130510200106120003,612-3천,서울특별시 강북구 번동 612-3,2025
09181,강북구,초안교 [09181],51000.0,1130510200106120003,612-3천,서울특별시 강북구 번동 612-3,2025
09182,강북구,번동주공3단지 [09182],1270000.0,1130510200102370001,237-1공,서울특별시 강북구 번동 237-1,2025
09183,강북구,번동주공3단지 [09183],51000.0,1130510200106120003,612-3천,서울특별시 강북구 번동 612-3,2025
09185,강북구,번동주공1단지 [09185],46100.0,1130510200100020001,2-1천,서울특별시 강북구 번동 2-1,2025
09186,강북구,오현초등학교 [09186],1205000.0,1130510200102590000,259도,서울특별시 강북구 번동 259,2025
09187,강북구,북서울꿈의숲 [09187],857600.0,1130510200100890001,89-1도,서울특별시 강북구 번동 89-1,2025
09203,강북구,수유중앙시장 [09203],5120000.0,1130510300102210049,221-49 종,서울특별시 강북구 수유동 221-49,2025
09205,강북구,대한병원 [09205],12790000.0,1130510300107400000,740 대,서울특별시 강북구 수유동 740,2025
09218,강북구,솔샘중고등학교.팔팔·미송경로당 [09218],1042000.0,1130510100108371816,837-1816 도,서울특별시 강북구 미아동 837-1816,2025
09225,강북구,SK아파트벽산아파트상가 [09225],1400000.0,1130510100113530014,1353-14 도,서울특별시 강북구 미아동 1353-14,2025
09228,강북구,번동주공아파트3단지4단지 [09228],1152000.0,1130510200102350000,235공,서울특별시 강북구 번동 235,2025
09233,강북구,번동해모로아파트 [09233],1068000.0,1130510200101480232,148-232도,서울특별시 강북구 번동 148-232,2025
09239,강북구,북서울꿈의숲 [09239],890800.0,1130510200101220010,122-10 공,서울특별시 강북구 번동 122-10,2025
09240,강북구,꿈의숲롯데캐슬아파트 [09240],1444000.0,1130510100100010046,1-46 도,서울특별시 강북구 미아동 1-46,2025
09243,강북구,경남아너스빌.꿈의숲해링턴아파트 [09243],1444000.0,1130510100113690004,1369-4 도,서울특별시 강북구 미아동 1369-4,2025
09261,성북구,미아사거리역 [09261],19100000.0,1130510100100420008,42-8대,서울특별시 강북구 미아동 42-8,2025
09271,강북구,북서울꿈의숲 [09271],143300.0,1130510200200270071,산27-71 공,서울특별시 강북구 번동 산 27-71,2025
