ARS,자치구,정류장이름,승차_일평균,하차_일평균,승하차_일평균,경유노선수
18740,금천구,한울중학교 [18740],172.7,104.9,277.6,2.0
18998,금천구,구로세관 [18998],,,,
19018,영등포구,당산역광역환승센터(1번) [19018],,,,
19103,영등포구,영등포공원 [19103],237.5,341.2,578.7,3.0
19114,영등포구,영등포역 [19114],773.6,552.5,1326.1,5.0
19118,영등포구,김안과병원 [19118],1593.9,2739.0,4333.0,12.0
19120,영등포구,영등포시장 [19120],1113.0,1728.3,2841.3,9.0
19121,영등포구,신화병원 [19121],922.3,929.6,1851.9,8.0
19125,영등포구,삼환아파트 [19125],1291.6,1461.4,2753.0,10.0
19126,영등포구,당산푸르지오아파트 [19126],2057.0,1298.1,3355.1,9.0
19127,영등포구,하이서울유스호스텔 [19127],,,,
19129,영등포구,국회의사당 [19129],,,,
19130,영등포구,KBS [19130],444.5,171.8,616.3,3.0
19132,영등포구,국회의사당역.국민은행 [19132],1152.8,1105.3,2258.1,4.0
19133,영등포구,국회의사당역 [19133],2269.5,1832.1,4101.7,9.0
19134,영등포구,영평동한솔아파트 [19134],257.4,479.8,737.2,13.0
19136,동작구,여의도순복음교회 [19136],1561.1,1557.6,3118.7,6.0
19137,동작구,여의도순복음교회 [19137],1259.2,801.3,2060.5,5.0
19138,동작구,여의도공원 [19138],802.1,733.3,1535.4,7.0
19139,동작구,여의나루역 [19139],1405.3,1406.9,2812.2,9.0
19140,동작구,여의나루역 [19140],2164.9,1406.0,3570.9,10.0
19142,동작구,여의도중학교 [19142],301.5,417.2,718.7,5.0
19143,동작구,63빌딩.가톨릭대학교여의도성모병원 [19143],1419.4,1083.5,2502.8,4.0
19144,동작구,63빌딩.가톨릭대학교여의도성모병원 [19144],1176.0,932.6,2108.6,4.0
19145,동작구,시범아파트 [19145],809.7,457.0,1266.6,5.0
19147,동작구,여의동주민센터 [19147],302.9,196.2,499.0,4.0
19151,동작구,샛강역.앙카라공원 [19151],1030.3,1209.9,2240.2,7.0
19154,동작구,샛강역4번출구.여의도자이 [19154],1646.3,1187.4,2833.7,12.0
19155,동작구,여의도역 [19155],4376.6,1758.8,6135.4,12.0
19157,동작구,한국거래소 [19157],1350.7,1945.5,3296.2,7.0
19158,동작구,한국거래소 [19158],1657.8,526.3,2184.1,8.0
19159,동작구,삼부아파트 [19159],1244.5,1356.6,2601.1,7.0
19161,동작구,전경련회관 [19161],1476.1,2939.2,4415.3,14.0
19163,영등포구,당산동진로아파트 [19163],1684.0,1691.1,3375.1,12.0
19166,영등포구,교보앞 [19166],1347.5,1033.2,2380.7,10.0
19169,영등포구,영등포구청 [19169],1757.9,1129.5,2887.3,5.0
19171,영등포구,당산동삼익아파트 [19171],253.7,379.9,633.6,1.0
19173,영등포구,당산역 [19173],1206.2,1308.3,2514.6,9.0
19174,영등포구,당산역삼성래미안아파트 [19174],2540.8,2180.8,4721.6,11.0
19178,영등포구,당산역 [19178],91.1,501.9,593.0,2.0
19194,영등포구,문래동대림아파트 [19194],,,,
19202,영등포구,양평1동주민센터 [19202],768.2,706.0,1474.3,11.0
19203,영등포구,양평신동아아파트 [19203],895.5,821.9,1717.4,10.0
19205,영등포구,관악고등학교 [19205],1022.9,1014.2,2037.1,11.0
19207,영등포구,당중초등학교 [19207],704.9,164.2,869.1,2.0
19210,영등포구,한신아파트.선유도역 [19210],1172.7,1016.6,2189.3,5.0
19214,영등포구,양평한신아파트.선유도공원입구 [19214],987.5,494.5,1482.0,16.0
19215,영등포구,영등포아리수정수센터 [19215],1803.2,2394.0,4197.2,20.0
19216,영등포구,양평한신아파트.선유도공원입구 [19216],562.6,1039.4,1602.0,14.0
19217,영등포구,안양천입구 [19217],1958.1,1482.9,3441.0,21.0
19218,영등포구,양평동한솔아파트 [19218],938.9,511.9,1450.9,16.0
