ARS,자치구,정류장이름,POI_total_100m,POI_total_300m,POI_음식_300m,POI_소매_300m,POI_과학·기술_300m,POI_수리·개인_300m,POI_교육_300m,POI_부동산_300m,POI_시설관리·임대_300m,POI_예술·스포츠_300m,POI_보건의료_300m,POI_숙박_300m,POI_total_500m
06158,동대문구,답십리역.동부시장 [06158],89,434,101,117,35,59,19,26,24,20,30,3,1071
06159,동대문구,신답역앞 [06159],9,151,32,24,13,18,22,14,14,6,4,4,541
06160,동대문구,동대문구청.용두역4번출구 [06160],20,371,123,82,47,47,9,13,17,14,16,3,902
06161,동대문구,용두역 [06161],76,286,81,59,34,37,6,13,18,14,20,4,1177
06162,동대문구,용두동신동아아파트 [06162],132,450,143,120,41,62,18,13,19,26,5,3,1146
06163,동대문구,동대문우체국.서울풍물시장 [06163],204,1277,404,421,103,60,61,48,57,54,28,41,1932
06164,동대문구,동대문구청.용두역3번출구 [06164],94,655,229,134,62,77,25,29,28,32,23,16,1818
06165,동대문구,동대문구청.용신동주민센터 [06165],107,1090,310,430,55,86,33,31,29,37,56,23,2127
06166,동대문구,동대문구청.용신동주민센터 [06166],69,599,212,117,60,68,25,27,27,31,23,9,1763
06167,동대문구,경동시장앞 [06167],84,580,97,353,20,30,8,8,8,10,31,15,2031
06170,동대문구,홍파초등학교 [06170],61,256,38,91,25,38,24,11,16,3,4,6,1012
06171,동대문구,홍파초등학교 [06171],66,247,35,91,24,36,23,10,16,3,3,6,961
06172,동대문구,제기동한신아파트앞 [06172],34,310,89,74,22,52,21,16,15,6,1,14,748
06173,동대문구,고려대역.고대앞삼거리 [06173],28,243,95,53,12,31,10,11,14,5,1,11,711
06174,동대문구,고려대역.고대앞삼거리 [06174],51,281,102,65,16,33,20,12,16,5,1,11,766
06177,동대문구,안암오거리 [06177],93,472,174,84,34,38,44,14,16,43,8,17,985
06180,동대문구,용두시장앞 [06180],29,417,148,89,39,40,25,24,13,23,8,8,1315
06181,동대문구,용두시장앞 [06181],35,421,148,91,36,40,28,25,14,23,8,8,1285
06182,동대문구,서울시동부병원 [06182],81,632,234,142,56,68,27,23,19,42,13,8,1591
06183,동대문구,서울시동부병원 [06183],86,611,224,140,57,63,22,24,22,39,14,6,1514
06184,동대문구,동아제약앞 [06184],49,410,121,117,38,57,15,19,15,24,2,2,1204
06185,동대문구,동아제약앞 [06185],58,426,131,116,35,59,18,19,17,24,4,3,1198
06186,동대문구,떡전교앞 [06186],68,515,192,151,33,47,14,23,10,22,3,20,959
06187,동대문구,떡전교앞 [06187],68,550,199,157,37,55,17,23,11,26,4,21,955
06195,동대문구,미드카운티아파트.청솔우성아파트 [06195],112,582,138,135,26,79,93,25,17,31,30,8,1076
06198,동대문구,답십리초등학교.현대시장 [06198],121,443,108,111,25,78,39,28,13,22,14,5,1133
06204,동대문구,동대문중학교 [06204],0,157,30,34,8,14,41,16,5,2,6,1,1045
06205,동대문구,동대문중학교 [06205],3,224,46,46,12,21,59,17,4,5,13,1,930
06206,동대문구,전농래미안크레시티아파트 [06206],26,470,126,124,21,56,58,15,19,26,22,3,1104
06208,동대문구,전농사거리 [06208],87,537,160,131,24,63,72,17,20,29,18,3,851
06211,동대문구,"배봉초등학교,전농우성아파트 [06211]",75,372,111,100,24,50,32,14,6,16,17,2,704
06212,동대문구,장안2동주민센터 [06212],115,462,151,123,26,59,27,14,7,30,23,2,916
06214,중랑구,장안교앞 [06214],18,213,70,50,13,31,16,10,6,11,4,2,579
06215,중랑구,장안교은석초등학교 [06215],18,132,51,29,10,16,6,8,6,4,1,1,517
06216,동대문구,청량리역6번출구 [06216],34,780,182,328,58,60,21,31,10,22,62,6,2104
06217,동대문구,청량리역6번출구 [06217],61,750,169,313,58,60,21,31,10,23,58,7,2080
06218,동대문구,롯데캐슬노블레스 [06218],48,361,101,73,25,53,38,23,11,15,12,10,668
06220,동대문구,래미안크레시티.답십리도서관 [06220],34,280,79,45,26,38,34,21,7,10,13,7,704
06222,동대문구,답십리래미안위브아파트 [06222],39,398,101,74,17,46,73,27,4,22,28,6,916
06223,동대문구,답십리래미안미드카운티 [06223],87,476,117,103,20,58,80,28,6,27,31,6,934
06224,동대문구,답십리종합상가 [06224],115,470,116,109,28,66,59,22,9,28,27,6,911
06227,동대문구,답십리2동한양아파트앞 [06227],10,131,26,46,7,21,7,10,4,7,2,1,880
06228,동대문구,답십리2동한양아파트앞 [06228],14,166,38,54,8,27,9,10,4,10,4,2,875
06229,동대문구,동답한신.대림아파트동대문체육관 [06229],17,173,47,45,13,17,12,9,13,15,2,0,734
06231,동대문구,촬영소사거리.세양청마루아파트앞 [06231],29,261,72,70,19,42,9,13,13,19,4,0,900
06232,동대문구,동대문구.성동구선거관린위원회 [06232],63,566,148,152,43,94,31,17,21,29,28,3,1434
06233,동대문구,동대문구.성동구선거관린위원회 [06233],74,500,123,140,41,92,24,16,18,24,19,3,1377
06234,동대문구,장안사거리 [06234],118,731,239,159,50,90,73,17,18,35,44,6,1676
06235,동대문구,국민은행장안동지점 [06235],166,705,222,141,33,65,123,15,7,46,49,4,1294
06237,동대문구,장안동근린공원 [06237],40,484,150,117,32,68,41,20,13,24,17,2,1024
06238,동대문구,장안동근린공원 [06238],33,361,123,82,25,51,24,11,10,22,10,3,920
06242,동대문구,새서울병원 [06242],98,900,245,191,52,99,153,22,20,52,60,6,1488
06244,동대문구,장안동삼성쉐르빌아파트 [06244],175,810,258,166,50,87,88,27,25,51,46,12,1635
06245,동대문구,힐스테이트장안센트럴 [06245],105,700,253,143,50,99,35,36,26,33,14,11,1620
06246,동대문구,현대벤처빌 [06246],109,599,227,126,44,81,24,32,30,19,5,11,1557
06247,동대문구,현대벤처빌 [06247],93,555,211,111,43,68,28,34,24,20,6,10,1422
06248,동대문구,우리은행장안지점앞 [06248],117,510,186,105,55,69,18,22,22,23,7,3,1489
06249,동대문구,우리은행장안지점앞 [06249],122,520,194,103,59,63,21,19,19,28,10,4,1482
06250,동대문구,북한연구소앞 [06250],133,720,234,153,87,77,25,27,38,44,27,8,1572
06251,동대문구,장한평역 [06251],114,804,222,189,107,92,30,30,53,40,28,13,1475
06252,동대문구,장한평역 [06252],137,817,220,193,108,100,30,31,53,41,30,11,1476
06253,중랑구,신이문역 [06253],4,194,44,42,13,27,30,16,6,6,8,2,349
06254,중랑구,이문동현대아파트앞 [06254],6,78,18,18,3,9,14,9,2,3,2,0,293
06255,중랑구,이문동현대아파트 [06255],1,64,15,15,2,7,14,6,2,1,2,0,290
06256,중랑구,휘경2동주민센터 [06256],12,96,22,13,4,16,13,8,3,7,9,1,283
06257,중랑구,휘경2동주민센터 [06257],11,101,26,13,4,16,13,9,3,7,9,1,278
06258,중랑구,동부아동보호전문기관.동대부중고 [06258],1,98,20,26,5,10,30,2,3,2,0,0,444
06259,중랑구,장안삼성래미안2차아파트 [06259],1,134,30,26,8,14,51,2,0,2,1,0,834
06260,광진구,장안삼성래미안2차아파트.성복교회 [06260],0,241,70,48,13,29,40,10,0,18,12,1,889
06262,광진구,구민회관앞 [06262],4,100,15,27,5,15,27,6,0,1,2,2,534
06276,동대문구,국방연구원 [06276],28,96,30,28,12,9,5,1,7,1,0,3,272
06278,동대문구,세종대왕기념관 [06278],12,100,26,25,15,17,5,4,4,1,0,3,379
06279,동대문구,세종대왕기념관 [06279],17,82,23,23,11,9,4,4,4,1,0,3,316
06280,동대문구,영휘원사거리.(구)홍릉사거리 [06280],67,286,78,70,28,44,11,16,10,8,7,14,747
06285,동대문구,현대코아 [06285],131,1085,323,364,95,66,36,43,21,41,65,31,1809
06290,동대문구,제기시장 [06290],45,345,114,84,27,43,22,12,17,8,1,17,918
06297,동대문구,청량리한신아파트.청량사입구 [06297],26,170,33,42,14,36,13,6,12,6,1,7,824
06300,동대문구,제기동천주교회 [06300],13,192,42,44,22,28,30,7,2,3,3,11,1252
06301,중랑구,이문동쌍용아파트 [06301],1,117,23,27,15,17,15,8,6,3,2,1,301
06304,동대문구,전농동SK아파트 [06304],25,201,50,37,11,29,46,8,5,9,6,0,650
06309,동대문구,휘경공고휘경주공아파트 [06309],18,67,16,13,5,8,13,5,1,4,2,0,252
06310,성동구,e편한세상청계센트럴포레아파트 [06310],47,207,53,62,14,31,9,12,11,12,2,1,987
06315,동대문구,청량리미주상가앞 [06315],162,667,130,235,100,48,28,28,22,29,31,16,1740
06316,동대문구,동대문구청.용두역 [06316],15,269,85,68,41,30,7,9,15,9,2,3,823
06320,동대문구,회기동현대아파트 [06320],48,575,178,131,34,69,40,34,14,34,18,23,1461
06321,동대문구,우산빌딩앞 [06321],43,562,155,126,41,73,41,32,21,34,17,22,1400
06349,동대문구,청량리한신아파트 [06349],27,206,47,50,15,43,14,6,14,7,1,9,967
06357,동대문구,동대문노인종합복지관 [06357],58,515,170,160,31,67,20,12,18,17,6,14,967
06417,동대문구,동일스위트리버앞.휘봉고교 [06417],0,17,7,4,1,2,2,1,0,0,0,0,112
06418,동대문구,청량리수산시장 [06418],141,1163,265,668,35,43,15,19,12,24,67,15,2699
06419,중랑구,휘봉초등학교 [06419],0,10,4,2,0,1,2,1,0,0,0,0,175
06422,동대문구,휘경미소지움아파트 [06422],24,211,59,40,7,27,27,12,7,13,18,1,586
06423,중랑구,서울반도체고교.휘경주공아파트 [06423],0,61,13,11,4,7,14,5,1,4,2,0,235
06426,동대문구,청량리수산시장 [06426],121,1175,282,633,37,54,19,25,14,26,69,16,2590
06500,동대문구,답십리역 [06500],96,543,152,136,35,68,20,28,19,34,47,4,1184
06501,중랑구,"서울가든아파트,한국산업인력공단 [06501]",2,23,0,6,4,3,8,2,0,0,0,0,265
06503,동대문구,농협답십리지점 [06503],37,289,68,78,29,26,22,19,20,13,11,3,635
06504,중랑구,"동일하이빌,현대베스트빌아파트 [06504]",9,100,21,26,10,12,18,7,1,2,3,0,363
06507,동대문구,청계한신휴플러스 [06507],0,108,14,23,7,14,19,11,12,5,3,0,568
06511,동대문구,한신휴플러스정문 [06511],4,144,28,24,13,18,22,10,16,8,5,0,617
