ARS,자치구,정류장이름,경도,위도
07457,중랑구,중랑경찰서정문.우디안101동앞 [07457],127.1056205034,37.6177710478
07458,중랑구,중랑경찰서정문.우디안101동앞 [07458],127.1053545797,37.6176886487
07460,중랑구,신내우디안아파트107동앞 [07460],127.1058994532,37.6152979971
07466,중랑구,늘푸른근린공원 [07466],127.0799298741,37.5830485102
08101,성북구,숭곡초교입구 [08101],127.0320881862,37.6098576825
08104,강북구,장위동그린빌아파트 [08104],127.0431131466,37.6178525754
08105,강북구,북서울꿈의숲 [08105],127.0453451219,37.6203171059
08106,강북구,장월초등학교 [08106],127.0486034702,37.6235604931
08108,성북구,국민대앞 [08108],126.9940766263,37.611089494
08110,성북구,국민대학교앞 [08110],126.9946485975,37.6108079623
08112,성북구,청덕초교 [08112],127.00006,37.60863
08113,성북구,북악중학교 [08113],127.002908,37.607386
08114,성북구,고려대사범대학부속고등학교 [08114],127.002378,37.607888
08115,성북구,봉국사 [08115],127.007624,37.605854
08116,성북구,봉국사 [08116],127.007657,37.606138
08117,성북구,정릉2동주민센터 [08117],127.011258,37.604593
08118,성북구,정릉2동주민센터 [08118],127.0111989608,37.6049808949
08119,성북구,숭덕초교 [08119],127.0146827395,37.6033583637
08120,성북구,숭덕초교 [08120],127.0151143204,37.603698019
08121,성북구,정릉길음시장 [08121],127.0193251172,37.6022155634
08122,성북구,정릉길음시장.길음뉴타운9단지 [08122],127.0195998271,37.6025691568
08123,성북구,돈암동삼성아파트입구 [08123],127.0245753189,37.6018744304
08128,성북구,KT월곡지사 [08128],127.0343782041,37.6024463961
08129,성북구,KT월곡지사 [08129],127.0347002149,37.6030292596
08130,성북구,종암SK아파트 [08130],127.0376139648,37.602046721
08133,동대문구,월곡역 [08133],127.0423481401,37.6030699938
08136,동대문구,상월곡역 [08136],127.046447,37.605489
08137,동대문구,월곡중학교 [08137],127.049787,37.606895
08138,동대문구,월곡중학교 [08138],127.0492360318,37.6069663554
08142,중랑구,돌곶이역 [08142],127.0562084808,37.6105861206
08143,중랑구,장위동동원베네스트.온누리병원 [08143],127.058969,37.612043
08147,중랑구,석계역 [08147],127.067112,37.615104
08148,성북구,성가복지병원 [08148],127.0311378827,37.6058827177
08149,성북구,성가복지병원 [08149],127.0315287406,37.6059227612
08150,성북구,종암경찰서 [08150],127.0330443723,37.6014326326
08151,성북구,종암경찰서 [08151],127.0336839773,37.6011063729
08152,성북구,종암동주민센터 [08152],127.0341075456,37.5994152643
08153,성북구,종암동주민센터 [08153],127.0349566767,37.5983737481
08154,성북구,숭례초교 [08154],127.0356811781,37.5948052663
08155,성북구,숭례초등학교 [08155],127.036170198,37.5943969245
08156,동대문구,고대앞 [08156],127.0348108154,37.5885636851
08158,동대문구,안암오거리 [08158],127.029064935,37.5824863475
08159,성북구,대광초교 [08159],127.0250277117,37.5797066498
08163,성북구,정릉4동주민센터.경국사 [08163],127.0063369706,37.6135243952
08169,성북구,정릉우체국앞 [08169],127.0114121305,37.6051645031
08171,성북구,미아초교 [08171],127.0220389791,37.6115318739
08176,성북구,삼선동주민센터 [08176],127.0147153546,37.5906917676
08179,성북구,보문역 [08179],127.0189209428,37.5858514183
08181,성북구,보문동성상 [08181],127.0207962235,37.5823963244
08182,성북구,보문동성상 [08182],127.0211155216,37.582398971
08184,성북구,보문동주민센터 [08184],127.0223781466,37.5800480873
08185,강북구,월계2교.참누리아파트 [08185],127.0503746013,37.6232183587
08186,강북구,월계2교 [08186],127.050133,37.623825
08187,강북구,광운초교앞 [08187],127.0529580116,37.6199529582
