ARS,자치구,정류장이름,최근접지하철_거리_m,최근접역명,최근접역호선,최근접역_승하차_일평균
24276,강동구,거여역5번출구 [24276],136.6,거여,5호선,20540.0
24279,강동구,종점 [24279],245.6,마천,5호선,14167.0
24282,강동구,마천1동주민센터.송파롯데캐슬 [24282],293.1,마천,5호선,14167.0
24293,강동구,마천동금호어울림1차아파트 [24293],274.3,마천,5호선,14167.0
24295,강동구,마천시장마천동우방아파트앞 [24295],558.2,마천,5호선,14167.0
24296,강동구,남천초교마천동우방아파트앞 [24296],549.9,마천,5호선,14167.0
24297,강동구,청암노인요양원 [24297],796.1,마천,5호선,14167.0
24298,강동구,청암노인요양원 [24298],714.9,마천,5호선,14167.0
24299,강동구,마천동사거리 [24299],638.3,거여,5호선,20540.0
24300,강동구,마천동사거리 [24300],649.1,마천,5호선,14167.0
24305,송파구,복정역1번출구 [24305],191.6,복정,8호선,19185.0
24311,송파구,문정대우아파트 [24311],519.8,문정,8호선,45583.0
24312,송파구,삼성래미안아파트후문 [24312],898.6,문정,8호선,45583.0
24313,송파구,문정시영가락프라자아파트 [24313],758.2,개롱,5호선,13434.0
24314,송파구,문정시영.세양청마루아파트 [24314],637.3,개롱,5호선,13434.0
24316,송파구,한림연예예술고교 [24316],817.5,문정,8호선,45583.0
24323,송파구,문정동푸르지오아파트 [24323],437.2,문정,8호선,45583.0
24325,송파구,문정동래미안아파트 [24325],602.4,경찰병원,3호선,15094.0
24326,송파구,문정래미안현대아파트앞 [24326],611.3,경찰병원,3호선,15094.0
24327,송파구,문정현대아파트 [24327],641.5,경찰병원,3호선,15094.0
24329,송파구,문정현대아파트 [24329],523.6,경찰병원,3호선,15094.0
24331,송파구,문정동제일은행 [24331],188.3,문정,8호선,45583.0
24332,송파구,삼성래미안아파트후문 [24332],906.7,문정,8호선,45583.0
24333,송파구,문정2동주민센터.청소년수련관 [24333],500.1,가락시장,3호선,36430.0
24334,송파구,훼미리근린공원 [24334],277.2,가락시장,3호선,36430.0
24335,송파구,문정로데오거리입구 [24335],199.3,가락시장,3호선,36430.0
24338,송파구,오금역2번출구 [24338],53.5,오금,3호선,20383.0
24339,송파구,오금역3번출구 [24339],105.6,오금,3호선,20383.0
24341,강동구,위례포레샤인18단지남문 [24341],894.2,마천,5호선,14167.0
24342,강동구,힐스테이트센트럴위례 [24342],895.0,마천,5호선,14167.0
24349,송파구,삼환아파트 [24349],286.6,개롱,5호선,13434.0
24350,송파구,송파배드민턴체육관 [24350],490.1,개롱,5호선,13434.0
24352,송파구,문정시영가락프라자아파트 [24352],818.5,개롱,5호선,13434.0
